연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.061566103249788284
4,01-03 01:00,공주,0.06693831086158752
4,01-03 02:00,공주,0.06989520788192749
4,01-03 03:00,공주,0.0629349946975708
4,01-03 04:00,공주,0.06461048871278763
4,01-03 05:00,공주,0.06202593818306923
4,01-03 06:00,공주,0.0668894425034523
4,01-03 07:00,공주,0.07926148176193237
4,01-03 08:00,공주,0.0798163041472435
4,01-03 09:00,공주,0.08650438487529755
4,01-03 10:00,공주,0.07445299625396729
4,01-03 11:00,공주,0.06766936182975769
4,01-03 12:00,공주,0.06778131425380707
4,01-03 13:00,공주,0.05927683785557747
4,01-03 14:00,공주,0.06357234716415405
4,01-03 15:00,공주,0.05730828642845154
4,01-03 16:00,공주,0.058137498795986176
4,01-03 17:00,공주,0.0630517303943634
4,01-03 18:00,공주,0.08362569659948349
4,01-03 19:00,공주,0.06984128057956696
4,01-03 20:00,공주,0.07761579751968384
4,01-03 21:00,공주,0.08081760257482529
4,01-03 22:00,공주,0.0851048082113266
4,01-03 23:00,공주,0.09092429280281067
4,01-04 00:00,공주,0.09487132728099823
4,01-04 01:00,공주,0.08247776329517365
4,01-04 02:00,공주,0.08930417895317078
4,01-04 03:00,공주,0.09752752631902695
4,01-04 04:00,공주,0.09202218055725098
4,01-04 05:00,공주,0.07373063266277313
4,01-04 06:00,공주,0.09140084683895111
4,01-04 07:00,공주,0.11208054423332214
4,01-04 08:00,공주,0.0945775955915451
4,01-04 09:00,공주,0.10134976357221603
4,01-04 10:00,공주,0.11489884555339813
4,01-04 11:00,공주,0.10374575853347778
4,01-04 12:00,공주,0.08597491681575775
4,01-04 13:00,공주,0.06844157725572586
4,01-04 14:00,공주,0.08124753087759018
4,01-04 15:00,공주,0.06844037771224976
4,01-04 16:00,공주,0.06745743751525879
4,01-04 17:00,공주,0.06946062296628952
4,01-04 18:00,공주,0.07911649346351624
4,01-04 19:00,공주,0.08872327208518982
4,01-04 20:00,공주,0.09199173003435135
4,01-04 21:00,공주,0.07459188997745514
4,01-04 22:00,공주,0.1178276464343071
4,01-04 23:00,공주,0.09944240003824234
4,01-05 00:00,공주,0.09684435278177261
4,01-05 01:00,공주,0.10765957832336426
4,01-05 02:00,공주,0.1003587543964386
4,01-05 03:00,공주,0.09748177975416183
4,01-05 04:00,공주,0.10486236214637756
4,01-05 05:00,공주,0.10942204296588898
4,01-05 06:00,공주,0.10616933554410934
4,01-05 07:00,공주,0.11572239547967911
4,01-05 08:00,공주,0.1299704909324646
4,01-05 09:00,공주,0.1334909200668335
4,01-05 10:00,공주,0.10487774759531021
4,01-05 11:00,공주,0.1025068610906601
4,01-05 12:00,공주,0.08462746441364288
4,01-05 13:00,공주,0.08585280179977417
4,01-05 14:00,공주,0.08851376175880432
4,01-05 15:00,공주,0.08294598013162613
4,01-05 16:00,공주,0.08981375396251678
4,01-05 17:00,공주,0.09114137291908264
4,01-05 18:00,공주,0.09041890501976013
4,01-05 19:00,공주,0.10096614062786102
4,01-05 20:00,공주,0.09123583137989044
4,01-05 21:00,공주,0.10358801484107971
4,01-05 22:00,공주,0.09700138866901398
4,01-05 23:00,공주,0.09603070467710495
4,01-08 00:00,공주,0.09475120902061462
4,01-08 01:00,공주,0.09918273985385895
4,01-08 02:00,공주,0.10062956809997559
4,01-08 03:00,공주,0.09331820905208588
4,01-08 04:00,공주,0.09096278250217438
4,01-08 05:00,공주,0.08539274334907532
4,01-08 06:00,공주,0.09454464912414551
4,01-08 07:00,공주,0.10875058174133301
4,01-08 08:00,공주,0.11968987435102463
4,01-08 09:00,공주,0.12517483532428741
4,01-08 10:00,공주,0.11599580943584442
4,01-08 11:00,공주,0.10426201671361923
4,01-08 12:00,공주,0.10789208114147186
4,01-08 13:00,공주,0.08541857451200485
4,01-08 14:00,공주,0.08387906849384308
4,01-08 15:00,공주,0.08350861817598343
4,01-08 16:00,공주,0.08908157795667648
4,01-08 17:00,공주,0.0876367837190628
4,01-08 18:00,공주,0.1067441776394844
4,01-08 19:00,공주,0.09860120713710785
4,01-08 20:00,공주,0.10630874335765839
4,01-08 21:00,공주,0.11281818896532059
4,01-08 22:00,공주,0.10778747498989105
4,01-08 23:00,공주,0.12162318825721741
4,01-09 00:00,공주,0.11504031717777252
4,01-09 01:00,공주,0.10801279544830322
4,01-09 02:00,공주,0.11928337812423706
4,01-09 03:00,공주,0.127544105052948
4,01-09 04:00,공주,0.11044657975435257
4,01-09 05:00,공주,0.10075153410434723
4,01-09 06:00,공주,0.11334988474845886
4,01-09 07:00,공주,0.14498618245124817
4,01-09 08:00,공주,0.12231511622667313
4,01-09 09:00,공주,0.1408739537000656
4,01-09 10:00,공주,0.13639362156391144
4,01-09 11:00,공주,0.12380442023277283
4,01-09 12:00,공주,0.11105699837207794
4,01-09 13:00,공주,0.09111364930868149
4,01-09 14:00,공주,0.09613804519176483
4,01-09 15:00,공주,0.0785810723900795
4,01-09 16:00,공주,0.09068423509597778
4,01-09 17:00,공주,0.08642317354679108
4,01-09 18:00,공주,0.09855151176452637
4,01-09 19:00,공주,0.10129940509796143
4,01-09 20:00,공주,0.10397714376449585
4,01-09 21:00,공주,0.08620963990688324
4,01-09 22:00,공주,0.12069769948720932
4,01-09 23:00,공주,0.09629898518323898
4,01-10 00:00,공주,0.09619470685720444
4,01-10 01:00,공주,0.10924726724624634
4,01-10 02:00,공주,0.10563702881336212
4,01-10 03:00,공주,0.10471267253160477
4,01-10 04:00,공주,0.1047576442360878
4,01-10 05:00,공주,0.10422483086585999
4,01-10 06:00,공주,0.11053747683763504
4,01-10 07:00,공주,0.12148220092058182
4,01-10 08:00,공주,0.13666976988315582
4,01-10 09:00,공주,0.13707096874713898
4,01-10 10:00,공주,0.09946832060813904
4,01-10 11:00,공주,0.1027669757604599
4,01-10 12:00,공주,0.07881771773099899
4,01-10 13:00,공주,0.08159273117780685
4,01-10 14:00,공주,0.085440993309021
4,01-10 15:00,공주,0.0879928320646286
4,01-10 16:00,공주,0.09083988517522812
4,01-10 17:00,공주,0.09398073703050613
4,01-10 18:00,공주,0.09637968987226486
4,01-10 19:00,공주,0.09179335087537766
4,01-10 20:00,공주,0.09725382924079895
4,01-10 21:00,공주,0.10323002189397812
4,01-10 22:00,공주,0.09539726376533508
4,01-10 23:00,공주,0.09674849361181259
4,01-13 00:00,공주,0.27835437655448914
4,01-13 01:00,공주,0.2719504237174988
4,01-13 02:00,공주,0.27019137144088745
4,01-13 03:00,공주,0.2521372437477112
4,01-13 04:00,공주,0.2499101608991623
4,01-13 05:00,공주,0.23799103498458862
4,01-13 06:00,공주,0.23472188413143158
4,01-13 07:00,공주,0.26977217197418213
4,01-13 08:00,공주,0.28120291233062744
4,01-13 09:00,공주,0.26944810152053833
4,01-13 10:00,공주,0.26689425110816956
4,01-13 11:00,공주,0.24290168285369873
4,01-13 12:00,공주,0.2779648005962372
4,01-13 13:00,공주,0.202254980802536
4,01-13 14:00,공주,0.16607201099395752
4,01-13 15:00,공주,0.1800660938024521
4,01-13 16:00,공주,0.18714489042758942
4,01-13 17:00,공주,0.1649586707353592
4,01-13 18:00,공주,0.1961582452058792
4,01-13 19:00,공주,0.1864105463027954
4,01-13 20:00,공주,0.1763952672481537
4,01-13 21:00,공주,0.2191179394721985
4,01-13 22:00,공주,0.19345518946647644
4,01-13 23:00,공주,0.20751067996025085
4,01-14 00:00,공주,0.1938435137271881
4,01-14 01:00,공주,0.19742132723331451
4,01-14 02:00,공주,0.19471457600593567
4,01-14 03:00,공주,0.19948561489582062
4,01-14 04:00,공주,0.15067942440509796
4,01-14 05:00,공주,0.17974552512168884
4,01-14 06:00,공주,0.2164834588766098
4,01-14 07:00,공주,0.1817755401134491
4,01-14 08:00,공주,0.1832902878522873
4,01-14 09:00,공주,0.1737220287322998
4,01-14 10:00,공주,0.19207118451595306
4,01-14 11:00,공주,0.13717833161354065
4,01-14 12:00,공주,0.15476198494434357
4,01-14 13:00,공주,0.11946681886911392
4,01-14 14:00,공주,0.12785856425762177
4,01-14 15:00,공주,0.08496077358722687
4,01-14 16:00,공주,0.09787007421255112
4,01-14 17:00,공주,0.1384841650724411
4,01-14 18:00,공주,0.11724353581666946
4,01-14 19:00,공주,0.10996833443641663
4,01-14 20:00,공주,0.11748385429382324
4,01-14 21:00,공주,0.12570980191230774
4,01-14 22:00,공주,0.14375975728034973
4,01-14 23:00,공주,0.1236942932009697
4,01-15 00:00,공주,0.10900737345218658
4,01-15 01:00,공주,0.11823911964893341
4,01-15 02:00,공주,0.12260490655899048
4,01-15 03:00,공주,0.10976782441139221
4,01-15 04:00,공주,0.10466901957988739
4,01-15 05:00,공주,0.1289721578359604
4,01-15 06:00,공주,0.12022827565670013
4,01-15 07:00,공주,0.12766598165035248
4,01-15 08:00,공주,0.14801307022571564
4,01-15 09:00,공주,0.12832830846309662
4,01-15 10:00,공주,0.11895979940891266
4,01-15 11:00,공주,0.09946981072425842
4,01-15 12:00,공주,0.09598791599273682
4,01-15 13:00,공주,0.08469235152006149
4,01-15 14:00,공주,0.09075683355331421
4,01-15 15:00,공주,0.09439483284950256
4,01-15 16:00,공주,0.09895115345716476
4,01-15 17:00,공주,0.09923016279935837
4,01-15 18:00,공주,0.09798447042703629
4,01-15 19:00,공주,0.09420966356992722
4,01-15 20:00,공주,0.10568983852863312
4,01-15 21:00,공주,0.1104317381978035
4,01-15 22:00,공주,0.09836909174919128
4,01-15 23:00,공주,0.10233710706233978
4,01-18 00:00,공주,0.10161041468381882
4,01-18 01:00,공주,0.10651388764381409
4,01-18 02:00,공주,0.10983268916606903
4,01-18 03:00,공주,0.0998091846704483
4,01-18 04:00,공주,0.09848812222480774
4,01-18 05:00,공주,0.09446514397859573
4,01-18 06:00,공주,0.10130241513252258
4,01-18 07:00,공주,0.1140194833278656
4,01-18 08:00,공주,0.12609456479549408
4,01-18 09:00,공주,0.13487857580184937
4,01-18 10:00,공주,0.11877679824829102
4,01-18 11:00,공주,0.10790953040122986
4,01-18 12:00,공주,0.11744819581508636
4,01-18 13:00,공주,0.0911058709025383
4,01-18 14:00,공주,0.08913463354110718
4,01-18 15:00,공주,0.09395721554756165
4,01-18 16:00,공주,0.09480499476194382
4,01-18 17:00,공주,0.09806342422962189
4,01-18 18:00,공주,0.11519213020801544
4,01-18 19:00,공주,0.10696536302566528
4,01-18 20:00,공주,0.11516310274600983
4,01-18 21:00,공주,0.12172961980104446
4,01-18 22:00,공주,0.1149035096168518
4,01-18 23:00,공주,0.12880569696426392
